number,x,y,z
494,-320,880,0
495,-320,900,0
496,-320,920,0
497,-320,940,0
498,-320,960,0
499,-320,980,0
500,-300,-1000,0
501,-300,-980,0
502,-300,-960,0
503,-300,-940,0
504,-300,-920,0
505,-300,-900,0
506,-300,-880,0
507,-300,-860,0
508,-300,-840,0
509,-300,-820,0
510,-300,-800,0
511,-300,-780,0
512,-300,-760,0
513,-300,-740,0
514,-300,-720,0
515,-300,-700,0
516,-300,-680,0
517,-300,-660,0
518,-300,-640,0
519,-300,-620,0
520,-300,-600,0
521,-300,-580,0
522,-300,-560,0
523,-300,-540,0
524,-300,-520,0
525,-300,-500,0
526,-300,-480,0
527,-300,-460,0
528,-300,-440,0
529,-300,-420,0
530,-300,-400,0
531,-300,-380,0
532,-300,-360,0
533,-300,-340,0
534,-300,-320,0
535,-300,-300,0
536,-300,-280,0
537,-300,-260,0
538,-300,-240,0
539,-300,-220,0
540,-300,-200,0
541,-300,-180,0
542,-300,-160,0
543,-300,-140,0
544,-300,-120,0
545,-300,-100,0
546,-300,-80,0
547,-300,-60,0
548,-300,-40,0
549,-300,-20,0
550,-300,0,0
551,-300,20,0
552,-300,40,0
553,-300,60,0
554,-300,80,0
555,-300,100,0
556,-300,120,0
557,-300,140,0
558,-300,160,0
559,-300,180,0
560,-300,200,0
561,-300,220,0
562,-300,240,0
563,-300,260,0
564,-300,280,0
565,-300,300,0
566,-300,320,0
567,-300,340,0
568,-300,360,0
569,-300,380,0
570,-300,400,0
571,-300,420,0
572,-300,440,0
573,-300,460,0
574,-300,480,0
575,-300,500,0
576,-300,520,0
577,-300,540,0
578,-300,560,0
579,-300,580,0
580,-300,600,0
581,-300,620,0
582,-300,640,0
583,-300,660,0
584,-300,680,0
585,-300,700,0
586,-300,720,0
587,-300,740,0
588,-300,760,0
589,-300,780,0
590,-300,800,0
591,-300,820,0
592,-300,840,0
593,-300,860,0
594,-300,880,0
595,-300,900,0
596,-300,920,0
597,-300,940,0
598,-300,960,0
599,-300,980,0
600,-280,-1000,0
601,-280,-980,0
602,-280,-960,0
603,-280,-940,0
604,-280,-920,0
605,-280,-900,0
606,-280,-880,0
607,-280,-860,0
608,-280,-840,0
609,-280,-820,0
610,-280,-800,0
611,-280,-780,0
612,-280,-760,0
613,-280,-740,0
614,-280,-720,0
615,-280,-700,0
616,-280,-680,0
617,-280,-660,0
618,-280,-640,0
619,-280,-620,0
620,-280,-600,0
621,-280,-580,0
622,-280,-560,0
623,-280,-540,0
624,-280,-520,0
625,-280,-500,0
626,-280,-480,0
627,-280,-460,0
628,-280,-440,0
629,-280,-420,0
630,-280,-400,0
631,-280,-380,0
632,-280,-360,0
633,-280,-340,0
634,-280,-320,0
635,-280,-300,0
636,-280,-280,0
637,-280,-260,0
638,-280,-240,0
639,-280,-220,0
640,-280,-200,0
641,-280,-180,0
642,-280,-160,0
643,-280,-140,0
644,-280,-120,0
645,-280,-100,0
646,-280,-80,0
647,-280,-60,0
648,-280,-40,0
649,-280,-20,0
650,-280,0,0
651,-280,20,0
652,-280,40,0
653,-280,60,0
654,-280,80,0
655,-280,100,0
656,-280,120,0
657,-280,140,0
658,-280,160,0
659,-280,180,0
660,-280,200,0
661,-280,220,0
662,-280,240,0
663,-280,260,0
664,-280,280,0
665,-280,300,0
666,-280,320,0
667,-280,340,0
668,-280,360,0
669,-280,380,0
670,-280,400,0
671,-280,420,0
672,-280,440,0
673,-280,460,0
674,-280,480,0
675,-280,500,0
676,-280,520,0
677,-280,540,0
678,-280,560,0
679,-280,580,0
680,-280,600,0
681,-280,620,0
682,-280,640,0
683,-280,660,0
684,-280,680,0
685,-280,700,0
686,-280,720,0
687,-280,740,0
688,-280,760,0
689,-280,780,0
690,-280,800,0
691,-280,820,0
692,-280,840,0
693,-280,860,0
694,-280,880,0
695,-280,900,0
696,-280,920,0
697,-280,940,0
698,-280,960,0
699,-280,980,0
700,-260,-1000,0
701,-260,-980,0
702,-260,-960,0
703,-260,-940,0
704,-260,-920,0
705,-260,-900,0
706,-260,-880,0
707,-260,-860,0
708,-260,-840,0
709,-260,-820,0
710,-260,-800,0
711,-260,-780,0
712,-260,-760,0
713,-260,-740,0
714,-260,-720,0
715,-260,-700,0
716,-260,-680,0
717,-260,-660,0
718,-260,-640,0
719,-260,-620,0
720,-260,-600,0
721,-260,-580,0
722,-260,-560,0
723,-260,-540,0
724,-260,-520,0
725,-260,-500,0
726,-260,-480,0
727,-260,-460,0
728,-260,-440,0
729,-260,-420,0
730,-260,-400,0
731,-260,-380,0
732,-260,-360,0
733,-260,-340,0
734,-260,-320,0
735,-260,-300,0
736,-260,-280,0
737,-260,-260,0
738,-260,-240,0
739,-260,-220,0
740,-260,-200,0
741,-260,-180,0
742,-260,-160,0
743,-260,-140,0
744,-260,-120,0
745,-260,-100,0
746,-260,-80,0
747,-260,-60,0
748,-260,-40,0
749,-260,-20,0
750,-260,0,0
751,-260,20,0
752,-260,40,0
753,-260,60,0
754,-260,80,0
755,-260,100,0
756,-260,120,0
757,-260,140,0
758,-260,160,0
759,-260,180,0
760,-260,200,0
761,-260,220,0
762,-260,240,0
763,-260,260,0
764,-260,280,0
765,-260,300,0
766,-260,320,0
767,-260,340,0
768,-260,360,0
769,-260,380,0
770,-260,400,0
771,-260,420,0
772,-260,440,0
773,-260,460,0
774,-260,480,0
775,-260,500,0
776,-260,520,0
777,-260,540,0
778,-260,560,0
779,-260,580,0
780,-260,600,0
781,-260,620,0
782,-260,640,0
783,-260,660,0
784,-260,680,0
785,-260,700,0
786,-260,720,0
787,-260,740,0
788,-260,760,0
789,-260,780,0
790,-260,800,0
791,-260,820,0
792,-260,840,0
793,-260,860,0
794,-260,880,0
795,-260,900,0
796,-260,920,0
797,-260,940,0
798,-260,960,0
799,-260,980,0
800,-240,-1000,0
801,-240,-980,0
802,-240,-960,0
803,-240,-940,0
804,-240,-920,0
805,-240,-900,0
806,-240,-880,0
807,-240,-860,0
808,-240,-840,0
809,-240,-820,0
810,-240,-800,0
811,-240,-780,0
812,-240,-760,0
813,-240,-740,0
814,-240,-720,0
815,-240,-700,0
816,-240,-680,0
817,-240,-660,0
818,-240,-640,0
819,-240,-620,0
820,-240,-600,0
821,-240,-580,0
822,-240,-560,0
823,-240,-540,0
824,-240,-520,0
825,-240,-500,0
826,-240,-480,0
827,-240,-460,0
828,-240,-440,0
829,-240,-420,0
830,-240,-400,0
831,-240,-380,0
832,-240,-360,0
833,-240,-340,0
834,-240,-320,0
835,-240,-300,0
836,-240,-280,0
837,-240,-260,0
838,-240,-240,0
839,-240,-220,0
840,-240,-200,0
841,-240,-180,0
842,-240,-160,0
843,-240,-140,0
844,-240,-120,0
845,-240,-100,0
846,-240,-80,0
847,-240,-60,0
848,-240,-40,0
849,-240,-20,0
850,-240,0,0
851,-240,20,0
852,-240,40,0
853,-240,60,0
854,-240,80,0
855,-240,100,0
856,-240,120,0
857,-240,140,0
858,-240,160,0
859,-240,180,0
860,-240,200,0
861,-240,220,0
862,-240,240,0
863,-240,260,0
864,-240,280,0
865,-240,300,0
866,-240,320,0
867,-240,340,0
868,-240,360,0
869,-240,380,0
870,-240,400,0
871,-240,420,0
872,-240,440,0
873,-240,460,0
874,-240,480,0
875,-240,500,0
876,-240,520,0
877,-240,540,0
878,-240,560,0
879,-240,580,0
880,-240,600,0
881,-240,620,0
882,-240,640,0
883,-240,660,0
884,-240,680,0
885,-240,700,0
886,-240,720,0
887,-240,740,0
888,-240,760,0
889,-240,780,0
890,-240,800,0
891,-240,820,0
892,-240,840,0
893,-240,860,0
894,-240,880,0
895,-240,900,0
896,-240,920,0
897,-240,940,0
898,-240,960,0
899,-240,980,0
900,-220,-1000,0
901,-220,-980,0
902,-220,-960,0
903,-220,-940,0
904,-220,-920,0
905,-220,-900,0
906,-220,-880,0
907,-220,-860,0
908,-220,-840,0
909,-220,-820,0
910,-220,-800,0
911,-220,-780,0
912,-220,-760,0
913,-220,-740,0
914,-220,-720,0
915,-220,-700,0
916,-220,-680,0
917,-220,-660,0
918,-220,-640,0
919,-220,-620,0
920,-220,-600,0
921,-220,-580,0
922,-220,-560,0
923,-220,-540,0
924,-220,-520,0
925,-220,-500,0
926,-220,-480,0
927,-220,-460,0
928,-220,-440,0
929,-220,-420,0
930,-220,-400,0
931,-220,-380,0
932,-220,-360,0
933,-220,-340,0
934,-220,-320,0
935,-220,-300,0
936,-220,-280,0
937,-220,-260,0
938,-220,-240,0
939,-220,-220,0
940,-220,-200,0
941,-220,-180,0
942,-220,-160,0
943,-220,-140,0
944,-220,-120,0
945,-220,-100,0
946,-220,-80,0
947,-220,-60,0
948,-220,-40,0
949,-220,-20,0
950,-220,0,0
951,-220,20,0
952,-220,40,0
953,-220,60,0
954,-220,80,0
955,-220,100,0
956,-220,120,0
957,-220,140,0
958,-220,160,0
959,-220,180,0
960,-220,200,0
961,-220,220,0
962,-220,240,0
963,-220,260,0
964,-220,280,0
965,-220,300,0
966,-220,320,0
967,-220,340,0
968,-220,360,0
969,-220,380,0
970,-220,400,0
971,-220,420,0
972,-220,440,0
973,-220,460,0
974,-220,480,0
975,-220,500,0
976,-220,520,0
977,-220,540,0
978,-220,560,0
979,-220,580,0
980,-220,600,0
981,-220,620,0
982,-220,640,0
983,-220,660,0
984,-220,680,0
985,-220,700,0
986,-220,720,0
987,-220,740,0
988,-220,760,0
989,-220,780,0
990,-220,800,0
991,-220,820,0
992,-220,840,0
993,-220,860,0
994,-220,880,0
995,-220,900,0
996,-220,920,0
997,-220,940,0
998,-220,960,0
999,-220,980,0
1000,-200,-1000,0
1001,-200,-980,0
1002,-200,-960,0
1003,-200,-940,0
1004,-200,-920,0
1005,-200,-900,0
1006,-200,-880,0
1007,-200,-860,0
1008,-200,-840,0
1009,-200,-820,0
1010,-200,-800,0
1011,-200,-780,0
1012,-200,-760,0
1013,-200,-740,0
1014,-200,-720,0
1015,-200,-700,0
1016,-200,-680,0
1017,-200,-660,0
1018,-200,-640,0
